season;team_api_id;player_id;overall_rating;potential;finishing;heading_accuracy;short_passing;dribbling;sprint_speed;balance;shot_power;jumping;stamina;strength;positioning;penalties;sliding_tackle
2008/2009;9984;27110;66.5;69.5;37.0;61.0;61.5;44.5;62.0;70.0;63.0;63.0;75.0;62.0;72.0;68.5;68.0
2008/2009;9984;32863;72.0;76.0;71.0;62.0;75.0;77.0;75.0;63.0;73.0;64.0;78.0;56.0;79.0;75.0;47.0
2008/2009;9984;37957;68.0;69.0;55.0;67.0;73.0;66.0;67.0;66.0;68.0;65.0;70.0;68.0;68.0;69.0;55.0
2008/2009;9984;37909;67.0;68.0;67.5;72.0;67.0;60.0;67.0;62.0;68.5;65.0;75.0;58.5;73.0;68.5;55.0
2008/2009;9984;104386;62.5;70.0;53.0;42.0;63.5;57.0;71.0;52.0;52.5;67.0;59.0;64.0;54.0;41.0;62.0
2008/2009;9984;38251;67.0;68.0;66.0;76.0;68.0;57.0;64.0;75.0;69.0;65.0;75.0;78.0;71.0;66.0;46.0
2008/2009;9984;37065;68.0;73.0;66.0;57.0;69.0;74.0;68.0;62.0;64.0;64.0;65.0;52.0;62.0;53.0;37.0
2008/2009;9991;104378;66.0;69.0;21.0;37.0;23.0;21.0;67.0;88.0;65.0;71.0;52.0;82.0;23.0;57.0;19.0
2008/2009;9991;41109;63.0;64.0;35.0;58.0;55.0;57.0;62.0;67.0;60.0;58.0;59.0;70.0;73.0;65.0;66.0
2008/2009;9991;27838;69.0;76.0;39.0;68.0;67.0;69.0;74.0;67.0;67.0;71.0;76.0;69.0;77.0;74.0;67.0
2008/2009;9991;36841;64.0;65.0;38.0;67.0;64.0;47.0;54.0;69.0;59.0;66.0;65.0;71.0;73.0;66.0;63.0
2008/2009;9991;38337;64.5;68.5;34.0;71.5;61.0;50.5;66.0;73.0;60.0;64.0;72.0;69.0;60.5;72.0;72.0
2008/2009;9991;33662;69.0;70.0;65.5;67.5;72.0;65.0;62.0;62.0;70.0;57.0;77.0;67.0;74.0;69.0;59.0
2008/2009;9991;37044;64.0;69.0;35.0;65.0;64.0;46.0;66.0;74.0;60.0;67.0;73.0;68.0;63.0;66.0;67.0
2008/2009;9991;32760;69.0;72.0;50.0;56.0;71.0;62.0;71.0;81.0;74.0;68.0;80.0;69.0;71.0;65.0;70.0
2008/2009;9991;38229;71.0;76.0;69.0;53.0;67.0;77.0;77.0;82.0;65.0;76.0;65.0;62.0;56.0;69.0;36.0
2008/2009;9991;12574;66.0;69.0;64.0;67.0;67.0;68.0;67.0;78.0;65.0;72.0;68.0;71.0;67.0;66.0;43.0
2008/2009;9991;46335;67.0;70.5;64.5;61.0;60.0;66.0;74.0;64.0;69.5;75.0;73.0;67.0;59.0;57.0;39.0
2008/2009;9999;38318;64.0;66.5;25.0;25.0;22.0;25.0;46.0;0.0;51.0;0.0;49.0;76.0;12.0;58.0;0.0
2008/2009;9999;131411;58.0;61.0;45.0;54.0;57.0;56.0;67.0;0.0;65.0;0.0;70.0;66.0;45.0;44.0;0.0
2008/2009;9999;46580;59.0;67.0;41.0;69.0;52.0;63.0;62.0;0.0;38.0;0.0;68.0;68.0;64.0;67.0;0.0
2008/2009;9999;38247;62.0;64.0;38.0;61.0;53.0;43.0;63.0;0.0;62.0;0.0;66.0;71.0;60.0;48.0;0.0
2008/2009;9999;16387;57.0;61.0;22.0;58.0;41.0;21.0;63.0;0.0;50.0;0.0;63.0;65.0;53.0;49.0;0.0
2008/2009;9999;94284;51.0;62.0;24.0;48.0;50.0;27.0;65.0;55.0;45.0;65.0;56.0;51.0;49.0;34.0;66.0
2008/2009;9999;45832;58.0;60.0;52.0;57.0;65.0;53.0;45.0;0.0;65.0;0.0;66.0;68.0;67.0;53.0;0.0
2008/2009;9999;33671;57.0;62.0;36.0;56.0;56.0;48.0;70.0;0.0;67.0;0.0;77.0;65.0;47.0;51.0;0.0
2008/2009;9999;163670;58.0;79.0;62.0;61.5;53.0;59.5;56.5;65.0;59.5;70.0;48.0;44.5;31.5;37.0;44.0
2008/2009;9999;33622;64.0;66.5;71.5;58.0;54.0;62.0;64.0;74.0;62.0;72.0;69.0;65.5;76.0;59.0;27.0
2008/2009;9999;148336;;;;;;;;;;;;;;;
2008/2009;8571;33676;61.0;63.0;23.0;28.0;57.0;23.0;60.0;0.0;64.0;0.0;54.0;71.0;9.0;65.0;0.0
2008/2009;8571;148325;47.0;62.0;21.0;21.0;29.0;21.0;42.0;91.0;75.0;55.0;37.0;94.0;20.0;37.0;2.0
2008/2009;8571;67940;60.0;63.0;36.0;51.0;64.0;58.0;60.0;0.0;51.0;0.0;72.0;46.0;63.0;61.0;0.0
2008/2009;8571;46231;61.0;73.0;25.0;53.0;51.0;23.0;63.0;49.0;43.0;52.0;74.0;60.0;48.0;56.0;61.0
2008/2009;8571;67939;58.0;62.0;26.0;60.0;42.0;25.0;65.0;0.0;56.0;0.0;67.0;67.0;55.0;48.0;0.0
2008/2009;8571;38249;66.0;68.0;66.0;42.0;66.0;68.0;72.0;58.0;63.0;67.0;74.0;60.0;63.0;66.0;37.0
2008/2009;8571;39625;66.0;69.0;54.0;45.0;59.0;69.0;68.0;55.0;63.0;64.0;68.0;59.0;64.0;57.0;59.0
2008/2009;8571;39859;57.0;62.0;46.0;47.0;60.0;53.0;62.0;57.0;60.0;66.0;60.0;54.0;55.0;47.0;66.0
2008/2009;8571;40521;63.0;72.5;57.0;51.0;67.5;64.0;67.0;57.0;59.5;60.0;69.0;42.0;57.5;59.5;49.0
2008/2009;8571;148302;54.0;72.0;37.0;62.0;53.0;58.0;67.0;80.0;72.0;70.0;72.0;75.0;40.0;48.0;71.0
2008/2009;8571;148329;58.5;62.5;58.5;59.5;50.5;50.5;65.5;90.0;71.5;63.0;63.0;80.5;45.5;45.0;34.0
2008/2009;4049;32990;61.0;67.0;21.0;21.0;21.0;21.0;53.0;0.0;22.0;0.0;55.0;76.0;28.0;43.0;0.0
2008/2009;4049;94281;55.0;72.0;65.0;37.0;59.0;63.0;68.0;0.0;52.0;0.0;59.0;41.0;44.0;61.0;0.0
2008/2009;4049;94184;56.0;59.0;34.0;54.0;50.0;42.0;64.0;0.0;52.0;0.0;67.0;50.0;61.0;51.0;0.0
2008/2009;4049;15456;59.0;62.0;37.0;60.0;49.0;30.0;57.0;0.0;59.0;0.0;65.0;75.0;62.0;65.0;0.0
2008/2009;4049;37085;64.0;65.0;43.0;60.0;65.0;46.0;61.0;0.0;63.0;0.0;70.0;62.0;75.0;69.0;0.0
2008/2009;4049;37972;66.5;70.0;54.0;46.0;67.0;69.5;68.0;46.0;60.0;62.0;63.0;44.0;53.0;52.0;39.0
2008/2009;4049;148292;54.0;57.0;47.0;45.0;57.0;58.0;67.0;0.0;53.0;0.0;58.0;53.0;49.0;53.0;0.0
2008/2009;4049;148289;63.0;65.0;56.0;59.0;67.0;58.0;65.0;57.0;68.0;62.0;79.0;75.0;59.0;68.0;57.0
2008/2009;4049;17703;65.0;69.0;74.0;67.0;60.0;62.0;66.0;58.0;72.0;59.0;62.0;71.0;63.0;58.0;15.0
2008/2009;10001;38341;64.0;73.0;20.0;20.0;50.0;20.0;54.0;67.0;51.0;65.0;46.0;72.0;11.0;20.0;19.0
2008/2009;10001;38343;64.0;65.0;62.0;59.0;63.0;58.0;67.0;61.0;66.0;69.0;83.0;54.0;60.0;67.0;64.0
2008/2009;10001;38349;65.0;71.0;44.0;71.0;65.0;55.0;47.0;0.0;68.0;0.0;67.0;69.0;76.0;78.0;0.0
2008/2009;10001;21834;56.0;62.0;52.0;45.0;57.0;62.0;67.0;62.0;56.0;61.0;65.0;52.0;47.0;51.0;57.0
2008/2009;10001;37953;63.0;71.0;31.0;50.0;67.0;37.0;67.0;72.0;48.0;52.0;71.0;67.0;56.0;55.0;66.0
2008/2009;10001;38339;59.0;69.0;27.0;65.0;55.0;58.0;65.0;61.0;44.0;58.0;48.0;59.0;52.0;45.0;59.0
2008/2009;10001;30404;70.0;72.0;67.0;55.0;71.0;71.0;71.0;0.0;71.0;0.0;64.0;65.0;76.0;73.0;0.0
2008/2009;10001;38353;64.0;64.0;67.0;64.0;63.0;68.0;46.0;70.0;58.0;42.0;64.0;65.0;66.0;54.0;55.0
2008/2009;10001;38348;61.0;66.0;29.0;56.0;63.0;53.0;65.0;68.0;60.0;63.0;73.0;63.0;60.0;58.0;64.0
2008/2009;10001;37025;63.0;65.0;65.0;55.0;59.0;57.0;74.0;59.0;69.0;68.0;72.0;61.0;57.0;63.0;49.0
2008/2009;10001;17883;63.0;69.0;65.0;63.0;54.0;64.0;67.0;0.0;63.0;0.0;69.0;67.0;51.0;43.0;0.0
2008/2009;8342;37990;73.0;74.5;25.0;25.0;54.0;25.0;65.0;81.0;25.0;71.0;62.0;83.0;53.0;62.0;21.0
2008/2009;8342;34025;65.0;76.0;68.5;52.0;62.0;69.5;74.0;58.0;63.0;67.0;68.0;62.0;66.0;57.0;24.0
2008/2009;8342;21812;67.5;69.0;33.0;69.5;63.0;61.5;71.0;64.0;74.0;65.0;69.0;61.0;68.0;56.0;69.0
2008/2009;8342;11736;66.0;69.0;40.0;71.0;65.0;41.5;56.0;71.0;54.0;65.0;62.0;74.0;72.0;67.0;70.0
2008/2009;8342;37858;67.0;72.0;64.0;74.0;65.0;62.0;72.0;68.0;73.0;63.0;77.0;75.0;66.0;71.0;66.0
2008/2009;8342;38366;64.5;75.0;53.5;63.5;66.0;68.0;73.0;72.0;68.0;69.0;69.0;73.0;48.5;69.0;68.0
2008/2009;8342;37983;70.0;74.0;69.0;70.0;73.0;62.0;74.0;73.0;73.0;64.0;85.0;77.0;70.0;71.0;63.0
2008/2009;8342;39578;69.5;72.0;67.0;75.0;68.5;55.0;65.0;82.0;74.0;72.0;83.0;78.0;80.0;73.0;65.0
2008/2009;8342;38336;67.5;72.0;60.0;42.0;65.0;77.0;69.5;73.0;70.0;67.0;67.0;76.0;53.0;65.0;31.0
2008/2009;8342;52280;68.0;79.0;62.0;52.0;67.0;77.0;75.0;51.0;65.0;68.0;65.0;65.0;50.0;57.0;28.0
2008/2009;8342;27423;73.0;75.0;77.0;75.5;67.0;67.5;74.0;65.0;75.0;73.0;69.0;66.0;74.0;74.0;11.0
2008/2009;8342;38440;68.0;74.0;72.0;66.5;57.0;58.0;74.0;73.0;70.0;75.0;67.0;76.0;58.0;66.0;24.0
2008/2009;9985;30692;74.5;76.5;44.5;81.0;61.5;40.5;67.5;84.0;67.5;80.0;77.0;88.5;67.5;68.0;74.0
2008/2009;9985;148315;56.0;78.0;45.0;58.0;37.0;58.0;65.0;74.0;62.0;79.0;72.0;78.0;42.0;46.0;20.0
2008/2009;9985;38800;64.0;66.0;54.0;71.0;58.0;48.0;66.0;70.0;65.0;69.0;71.0;71.0;61.0;65.0;66.0
2008/2009;9985;37861;65.0;73.0;48.0;61.0;56.0;65.0;83.0;72.0;61.0;69.0;73.0;67.0;53.0;62.0;61.0
2008/2009;9985;47411;70.0;74.0;58.0;56.0;69.5;72.0;70.0;63.0;63.5;68.0;67.5;59.0;70.0;66.5;72.0
2008/2009;9985;35412;70.0;71.5;64.0;60.5;66.5;68.5;85.5;73.0;67.0;78.0;77.0;69.0;61.5;58.0;48.0
2008/2009;9985;39631;75.0;82.0;58.0;60.5;82.5;76.5;74.5;67.0;64.0;69.0;81.0;58.5;72.0;80.0;67.0
2008/2009;9985;39591;73.0;83.5;70.0;66.0;75.0;77.5;72.5;65.0;69.0;67.0;75.5;67.0;72.0;76.5;64.0
2008/2009;9985;119117;64.0;70.0;59.0;47.0;54.0;64.0;71.0;68.0;71.0;69.0;68.0;57.0;49.0;61.0;48.0
2008/2009;9985;25957;71.0;73.5;71.0;80.0;71.0;72.0;71.5;83.0;69.0;82.0;79.0;73.5;69.0;67.0;48.0
2008/2009;9985;38369;73.5;77.5;79.0;72.0;66.0;75.0;76.0;83.0;70.0;75.0;66.0;70.0;60.0;83.0;28.0
2008/2009;10000;37900;60.0;65.0;23.0;34.0;35.0;21.0;57.5;62.0;39.0;75.0;58.0;64.5;11.0;27.0;12.0
2008/2009;10000;40433;60.0;63.0;61.0;67.0;46.0;47.0;67.0;0.0;66.0;0.0;57.0;85.0;55.0;37.0;0.0
2008/2009;10000;37886;66.0;67.0;50.0;68.0;59.5;53.0;57.0;67.0;57.0;65.0;78.0;66.0;65.0;74.5;65.0
2008/2009;10000;37903;61.0;62.5;33.0;51.0;49.0;37.0;68.0;68.0;56.0;67.0;63.0;58.0;65.0;64.0;68.0
2008/2009;10000;37889;57.5;64.5;28.0;54.0;53.0;36.0;65.0;59.0;56.5;67.0;66.0;54.0;51.5;49.5;69.0
2008/2009;10000;94030;49.0;74.0;21.0;21.0;38.0;21.0;63.0;62.0;21.0;58.0;62.0;60.0;32.0;37.0;62.0
2008/2009;10000;37893;63.0;67.0;38.0;66.0;63.0;48.0;59.0;73.0;66.0;58.0;76.0;74.0;62.0;59.0;64.0
2008/2009;10000;37981;67.0;69.0;56.0;70.0;69.0;68.0;61.0;71.0;68.0;60.0;58.0;71.0;66.0;63.0;39.0
2008/2009;10000;131531;61.5;66.0;53.5;36.0;59.5;63.0;71.5;57.0;62.0;65.0;63.5;44.5;55.0;52.5;48.0
2008/2009;10000;130027;55.0;72.0;45.0;57.0;53.0;53.0;68.0;81.0;67.0;66.0;66.0;68.0;35.0;39.0;61.0
2008/2009;10000;38231;58.0;64.0;62.0;50.0;38.0;57.0;77.0;56.0;60.0;80.0;67.0;42.0;50.0;45.0;36.0
2008/2009;10000;131530;62.0;67.0;60.5;43.0;61.5;64.5;62.0;47.0;56.0;60.0;61.0;41.0;60.0;53.5;37.0
2008/2009;9994;30934;68.0;69.0;31.0;32.0;62.0;30.0;64.0;51.0;60.0;83.0;53.0;56.0;30.0;85.0;27.0
2008/2009;9994;104404;51.0;65.0;47.0;48.0;37.0;49.0;63.0;72.0;44.0;66.0;47.0;53.0;29.0;39.0;23.0
2008/2009;9994;38292;66.0;69.0;32.0;67.0;54.0;31.0;58.0;0.0;60.0;0.0;57.0;70.0;67.0;66.0;0.0
2008/2009;9994;11569;60.0;62.0;24.0;62.0;64.0;43.0;60.0;0.0;53.0;0.0;54.0;71.0;64.0;62.0;0.0
2008/2009;9994;14642;62.0;67.0;67.0;66.0;55.0;64.0;68.0;0.0;67.0;0.0;72.0;56.0;57.0;56.0;0.0
2008/2009;9994;38273;;;;;;;;;;;;;;;
2008/2009;9994;12099;65.0;67.0;60.0;33.0;67.0;72.0;74.0;53.0;60.0;65.0;62.0;39.0;65.0;67.0;38.0
2008/2009;9994;38290;63.0;68.0;46.0;66.0;66.0;58.0;66.0;71.0;67.0;62.0;75.0;73.0;60.0;58.0;59.0
2008/2009;9994;95609;58.0;61.0;35.0;56.0;54.0;48.0;67.0;71.0;63.0;67.0;72.0;65.0;61.0;59.0;64.0
2008/2009;9994;38257;;;;;;;;;;;;;;;
2008/2009;9994;121639;63.5;72.5;60.0;68.0;48.5;55.0;76.5;83.0;72.5;71.0;71.0;82.0;43.5;47.0;25.0
2008/2009;7947;39153;62.0;62.0;11.0;13.0;13.0;16.0;42.0;33.0;26.0;47.0;36.0;76.0;11.0;32.0;19.0
2008/2009;7947;34031;58.0;60.0;48.0;52.0;58.0;46.0;73.0;0.0;60.0;0.0;66.0;61.0;66.0;54.0;0.0
2008/2009;7947;39575;64.0;73.0;38.0;64.0;66.0;61.0;60.0;0.0;68.0;0.0;61.0;64.0;66.0;72.0;0.0
2008/2009;7947;46459;63.0;65.0;44.0;39.0;58.0;39.0;75.0;0.0;39.0;0.0;73.0;70.0;63.0;58.0;0.0
2008/2009;7947;26606;62.0;66.0;41.0;57.0;52.0;49.0;62.0;62.0;31.0;67.0;72.0;74.0;22.0;37.0;62.0
2008/2009;7947;45413;60.0;66.0;27.0;60.0;58.0;37.0;63.0;71.0;55.0;62.0;68.0;76.0;43.0;46.0;58.0
2008/2009;7947;15662;62.5;67.0;54.5;35.0;56.0;67.0;72.5;43.0;56.5;62.0;65.0;45.0;51.5;54.0;38.0
2008/2009;7947;131406;66.0;68.0;30.0;70.0;51.0;46.0;55.0;41.0;67.0;55.0;63.0;78.0;36.0;45.0;68.0
2008/2009;7947;178291;59.0;63.0;57.0;65.0;56.0;57.0;64.0;71.0;71.0;58.0;75.0;74.0;57.0;55.0;54.0
2008/2009;7947;149367;53.0;62.0;53.0;33.0;45.0;54.0;72.0;0.0;53.0;0.0;60.0;45.0;37.0;42.0;0.0
2008/2009;7947;116788;59.0;64.0;57.0;56.0;52.0;59.0;64.0;63.0;60.0;62.0;60.0;63.0;62.0;58.0;20.0
2008/2009;8203;38327;58.0;67.0;25.0;25.0;25.0;25.0;41.0;72.0;25.0;56.0;40.0;73.0;33.0;48.0;35.0
2008/2009;8203;6800;63.0;67.0;31.0;67.0;53.0;35.0;61.0;73.0;62.0;73.0;66.0;78.0;60.0;64.0;62.0
2008/2009;8203;36393;63.0;65.0;54.0;53.0;68.0;64.0;60.0;0.0;65.0;0.0;63.0;56.0;60.0;56.0;0.0
2008/2009;8203;67950;57.0;59.0;32.0;62.0;39.0;40.0;67.0;63.0;28.0;65.0;59.0;55.0;37.0;52.0;65.0
2008/2009;8203;67941;60.0;64.5;38.0;57.0;59.0;56.0;69.0;60.0;56.0;65.0;65.5;54.5;56.0;62.0;64.0
2008/2009;8203;67958;66.0;72.0;52.0;49.0;66.0;69.5;76.0;63.0;57.0;68.0;67.0;42.0;52.0;55.0;65.0
2008/2009;8203;37112;60.0;65.0;48.0;52.0;74.0;55.0;57.0;65.0;63.0;63.0;57.0;52.0;63.0;52.0;57.0
2008/2009;8203;67959;53.0;60.0;43.0;46.0;47.0;46.0;53.0;76.0;46.0;53.0;67.0;82.0;56.0;57.0;63.0
2008/2009;8203;148286;58.0;67.5;51.0;33.0;52.0;60.5;74.0;78.0;54.5;83.0;61.5;50.0;45.0;47.0;31.0
2008/2009;8203;164352;50.0;65.0;28.0;57.0;47.0;22.0;65.0;64.0;55.0;60.0;65.0;67.0;29.0;30.0;58.0
2008/2009;8203;67898;66.0;68.0;53.0;59.0;66.0;63.0;69.0;67.0;67.0;65.0;73.0;56.0;64.0;63.0;63.0
2008/2009;8203;33657;64.0;68.0;65.0;72.0;59.0;52.0;67.0;81.0;74.0;77.0;82.0;75.0;59.0;62.0;57.0
2008/2009;9996;39890;65.0;68.5;22.5;29.0;39.5;27.0;46.5;69.0;46.0;68.0;68.5;70.0;24.0;61.5;19.0
2008/2009;9996;37846;62.0;71.0;54.0;34.0;55.0;70.0;70.0;0.0;55.0;0.0;65.0;42.0;55.0;56.0;0.0
2008/2009;9996;38788;62.5;64.0;62.0;73.0;58.0;57.0;67.0;67.0;60.0;59.0;79.0;72.0;56.0;68.0;57.0
2008/2009;9996;39878;62.0;69.0;22.0;59.0;66.0;60.0;64.0;69.0;50.0;62.0;66.0;65.0;69.0;56.0;65.0
2008/2009;9996;26235;61.0;71.0;42.0;65.0;54.0;37.0;41.0;56.0;65.0;60.0;50.5;77.0;53.5;50.0;61.0
2008/2009;9996;38312;62.0;64.0;42.0;54.0;55.0;57.0;71.0;56.0;52.0;64.0;75.0;63.0;59.0;55.0;64.0
2008/2009;9996;94289;59.5;70.0;62.0;48.0;51.0;59.0;71.0;55.0;56.0;65.0;58.0;44.5;51.0;56.0;26.0
2008/2009;4049;35580;72.0;76.0;54.0;65.0;72.0;76.0;67.0;0.0;72.0;0.0;85.0;70.0;76.0;74.0;0.0
2008/2009;4049;37976;64.0;68.0;46.0;68.0;55.0;51.0;61.0;0.0;60.0;0.0;55.0;68.0;52.0;57.0;0.0
2008/2009;4049;9144;61.0;63.0;56.0;33.0;61.0;73.0;58.0;0.0;58.0;0.0;46.0;48.0;51.0;56.0;0.0
2008/2009;4049;97368;64.0;68.0;64.0;68.0;49.0;66.0;65.0;0.0;68.0;0.0;57.0;62.0;57.0;58.0;0.0
2008/2009;9993;38391;71.0;75.0;22.0;28.0;46.0;26.0;63.0;57.0;56.0;76.0;56.0;62.0;33.0;60.0;27.0
2008/2009;9993;37856;63.0;67.0;63.0;62.0;46.0;62.0;73.0;0.0;62.5;0.0;67.0;72.5;54.0;47.0;0.0
2008/2009;9993;36849;63.0;66.0;46.0;53.0;64.0;56.0;65.0;60.0;67.0;62.0;72.0;58.0;64.0;57.0;65.0
2008/2009;9993;36845;64.5;65.5;24.0;60.0;54.5;37.0;64.0;78.0;59.0;64.0;70.0;68.0;68.0;55.0;66.0
2008/2009;9993;38322;62.0;67.0;36.0;54.0;56.0;51.0;69.0;62.0;60.0;67.0;75.0;59.0;54.0;60.0;65.0
2008/2009;9993;30910;71.0;74.0;66.0;63.5;76.0;70.0;56.5;67.0;79.0;53.0;65.5;64.5;72.0;73.0;42.0
2008/2009;9993;36852;69.0;70.0;53.0;47.0;73.0;76.0;65.0;42.0;58.0;65.0;64.0;47.0;65.0;73.0;24.0
2008/2009;9993;38784;66.0;69.0;54.0;68.0;56.0;48.0;67.0;66.0;59.0;65.0;82.0;72.0;68.0;67.0;66.0
2008/2009;9993;38786;67.5;72.5;64.0;64.5;67.0;73.0;72.0;62.0;68.0;65.0;84.0;67.0;57.0;71.0;54.0
2008/2009;9993;38371;69.0;76.0;69.0;58.0;72.0;64.0;66.0;69.0;74.0;61.0;78.0;68.0;75.0;74.0;58.0
2008/2009;9993;41106;66.0;68.0;68.0;57.0;52.5;64.5;82.5;53.0;64.0;73.0;69.0;57.5;54.0;63.0;22.0
2008/2009;8635;31316;66.0;71.0;23.0;58.0;61.0;56.0;69.0;68.0;62.0;59.0;72.0;69.0;62.0;61.0;63.0
2008/2009;8635;164694;67.0;73.0;28.0;68.0;49.0;22.0;62.0;48.0;83.0;68.0;66.0;80.0;59.0;54.0;62.0
